,Title,url_name,manganato_url,author,num_authors,num_genres,status,views,votes,avg_rating,last_chapter,description,Abe George,Alexandre Dumas,Aoisei,Asano Inio,Atsushi Kamakura,Chiba Sadoru,Demizu Posuka,Ena Moriyama,Fujimoto Tatsuki,Fukao Atsushi,Furuhashi Hideyuki,Furuya Minoru,Furuya Usamaru,Gee So-Lyung,Gou Tanabe,H. P. Lovecraft,Han,Hanazawa Kengo,Higashino Keigo,Hiroe Rei,Hiromoto Sinichi,Hokazono Masaya,Honda Shingo,Hyung Min-Woo,Isayama Hajime,Itou Junji,Jal,Junji Itou,Kaihou Norimitsu,Kaiu Shirai,Kakizaki Masasumi,Kaneshiro Muneyuki,Kanzaki Yuuya,Katsura Masakazu,Kawakami Ryou,Kim Hyung-Jin,Kimizuka Chikara,Kino Hitoshi,Kishimoto Yuki,Koike Nokuto,Koizumi Tomohiro,Kotegawa Yua,Kouji Megumi,Kozo Takahashi,Macchiro,Masaya Hokazono,Matsui Yuusei,Matsumoto Jiro,Miura Kentaro,Miura Tsuina,Miyatsuki Arata,Mori Kouji,Murasaki Hisato,Murata Shinya,Nabeda Yoshiro,Nagai Yoshio,Nakamura Moto,Nanjou Norio,Nitta Jiro,Nohara Mosae,Ochiai Naoyuki,Oobaru,Ooki Kousuke,Osamu Dazai,Oshimi Shuzo,Otomo Katsuhiro,Otsuka Eiji,Ryou Haruto,Saimura Tsukasa,Sakaki Kenji,Sakamoto Shinichi,Sakurai Gamon,Samura Hiroaki,Sanbe Kei,Sato Kentaro,Satou Daisuke,Satou Kenichi,Shimada Toranosuke,Tajima Sho-U,Takahashi Tsutomu,Takami Koushun,Takatoo Yuko,Takimoto Tatsuhiko,Tatsuki Fujimoto,Terada Katsuya,Tonogai Yoshiki,Tsutsui Tetsuya,Uguisu Sachiko,Watanabe Chihiro (Ii),Yagi Norihiro,Yamaguchi Takayuki,Yamamoto Hideo,Yasohachi Ryou,Yasuhiko Yoshikazu,Youn In-Wan,Yu Satomi,,Action,Adventure,Comedy,Cooking,Doujinshi,Drama,Fantasy,Historical,Horror,Martial arts,Mature,Mystery,One shot,Psychological,Romance,School life,Sci fi,Seinen,Shounen,Slice of life,Sports,Supernatural,Tragedy,Webtoons
0,Goodnight Punpun,goodnight_punpun,https://chapmanganato.com/manga-fa957135,['Asano Inio'],1,6,finished,26.7M,1471,4.78,Vol.13 Chapter 147,"Description :
Witness the titular Punpun - who is depicted as a tiny, caricatured bird in an otherwise normal human setting - as he copes with his dysfunctional family and friends, his love interest, his oncoming adolescence and his hyperactive mind.",,,,Asano Inio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,Comedy,,,Drama,,,,,,,,Psychological,,,,Seinen,,Slice of life,,,,
1,Chainsaw man,chainsaw_man,https://chapmanganato.com/manga-dn980422,['Tatsuki Fujimoto'],1,5,ongoing,111.1M,11255,4.77,Chapter 129,"Description :
Broke young man + chainsaw dog demon = Chainsaw Man.
The name says it all! Denji's life of poverty is changed forever when he merges with his pet chainsaw dog, Pochita! Now he's living in the big city and an official Devil Hunter. But he's got a lot to learn about his new job and chainsaw powers!
Note: Won 2nd place in the 5th Next Manga Award in 2019. Nominated for the 3rd annual Tsutaya Comic Award in 2019. Nominated for the 13th Manga Taishō in 2020. Won the 66th Shogakukan Manga Award for Best Shōnen Manga in 2021. Won the Harvey Award for Best Manga in 2021. Won the 27th Manga Barcelona for Best Shōnen Manga in 2021. Nominated for Eisner Award for Best U.S. Edition of International Material - Asia in 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tatsuki Fujimoto,,,,,,,,,,,,,,Action,,,,,Drama,,,Horror,,,,,,,,,,Shounen,,,Supernatural,,
2,Berserk,berserk,https://chapmanganato.com/manga-ma952557,['Miura Kentaro'],1,8,finished,83.1M,6209,4.79,Chapter 372,"Description :

Berserk Manga is a Japanese dark fantasy manga series illustrated and written by Kentaro Miura. Place in a medieval Europe-divine the narrative centers on the characters of Guts dark fantasy world, a lone mercenary, and Griffith, the leader of a mercenary group known as the Band of the Hawk. Motifs of camaraderie, isolation, as well as the question of whether mankind is basically good or bad pervade the narrative, as it investigates both the very best and worst of human nature. Both anime and the manga are noticed for their utilization of sexual content and heavy violence.
 Guts in Berserk manga
The Hawks play a critical role in stopping the 100-year war which has ravaged the state of Midland and are initially welcomed as heroes, when Guts leaves the Hawks to seek out his own vision, but Griffith's aspirations to rule his own kingdom are shattered. Not able to deal together with the loss, Griffith leads to the dungeon to get a year and seduces the King's daughter Charlotte. From the time Guts helps the outlawed remnants of the Hawks and learns of this save him, Griffith left and has been terribly mutilated a mute shadow of his former self. Of understanding his body, the weight is too damaged for him to execute he inadvertently activates the behelit on his man and his wishes shows too much for Griffith. This brings the Hawks to a different airplane in the place where they fall upon archdemons known as the four God Hand in the service called the Eclipse. Urged on from the eldritch beings, Griffith gives his soldiers to the apostles--people like Zodd who lost mankind and their nearest and dearest for power of the God Hand --so he is able to end up being the closing member of the God Hand. Though he along with his lover Casca are saved from certain death by the mysterious Skull Knight labeled, Guts witnesses the savage slaughter of his comrades. Intestines loses an eye and an arm while Casca is driven mad after being raped by the reborn Griffith, now called Femto.
 
Miura premiered a model of Berserk Manga in 1988.
 
There, falling upon Farnese of the Holy Iron Chain Knights of the Holy See Church , Guts finds himself going through a nightmarish ordeal that finishes in the physical type restored of Griffith. Griffith creates another Band of the Hawk with Zodd as well as other Apostles among its ranks to fight the invading Kushan military as Guts takes Casca to the Elven kingdom of Elfhelm for safety together with the aid of his new comrades. The war between the Kushan emperor and Griffith, a rogue apostle, culminates using the emperor's destruction as well as the overlapping of the supernatural as well as the mortal world. No longer challenged by guy or devil, Griffith creates his rule using the sanction of the Pope and Princess Charlotte over Midland, creating the city of Falconia to give you safety to the Midlanders in the ever-increasing assaults of creatures that are fabulous


Berserk manga transform to Anime
 
Main characters in Berserk manga

- Guts is is among the first companies that Guts makes during the latter's days as the Black Swordsman. Puck is an elf descendants in the primeval spirits of wind, of the pisky race. A former denizen of Elfhelm, the idyllic elven kingdom of King Hanafubuku, he went away out of absolute apathy in the Golden Age story arc told before the events. Puck supplies a lot of the comic relief in the show Berserk Manga
 
- Griffith is the primary protagonist of Berserk Manga. He was the previous raid unit leader of a mercenary group called the Band of the Hawk.
 
- Nosferatu Zodd is a fabled sword expert. Any conflict where he participates results in mountains of dead. Zodd is a strong Apostle who travels from battlefield to battlefield seeking ever-more powerful competitors. He's a known opponent of the Skull Knight.
 
- Rickert (Rikkeruto) was the youngest person in the Band of the Hawk.

Other manga :
+ Sun Ken Rock Manga
+ Dragon Ball Manga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miura Kentaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,Adventure,,,,,Fantasy,,Horror,,Mature,,,,,,,Seinen,,,,Supernatural,Tragedy,
3,Jigoku No Alice,jigoku_no_alice,https://chapmanganato.com/manga-np955324,['Matsumoto Jiro'],1,4,ongoing,1.3M,107,4.76,Chapter 43: Damn Idiots! [End],"Description :
From Illuminati-Manga: This world is broken, so are humans. Shuu is one of them. He's a talented sniper who keeps a broken android, named Alice. Together they live like hermits and make living by exterminating caravan robbers, until one day the woman that Shuu saved invites him to live in a commune.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matsumoto Jiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,,,,,Mature,,,,,,Sci fi,Seinen,,,,,,
4,Mugen No Juunin,mugen_no_juunin,https://manganato.com/manga-mr955200,['Samura Hiroaki'],1,8,finished,1.4M,87,4.77,Vol.30 Chapter 219 : Manji And Rin [End],"Description :
""To end his eternal suffering, he must slay one thousand enemies!"" Manji, a ronin warrior of feudal Japan, has been cursed with immortality. To rid himself of this curse and end his life of misery, he must slay one thousand evil men! His quest begins when a young girl seeks his help in taking revenge on her parents' killers... and his quest won't end until the blood of a thousand has spilled!
Won the Media Arts Awards 1997 Excellence Prizes in Manga Division,
Won the Best U.S. Edition of International Material for the Eisner Award in 2000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samura Hiroaki,,,,,,,,,,,,,,,,,,,,,,,,,Action,Adventure,,,,Drama,,Historical,,Martial arts,Mature,,,,,,,Seinen,,,,,Tragedy,
5,Yakusoku No Neverland,yakusoku_no_neverland,https://chapmanganato.com/manga-vl972446,"['Kaiu Shirai', 'Demizu Posuka']",2,7,ongoing,65.6M,3645,4.74,Chapter 181,"Description :
Emma and the other kids have a pretty good life at the orphanage they grew up in. Though the rules are strict, their caretaker is kind, and all the children are good friends with each other. But why are they forbidden from ever leaving?",,,,,,,Demizu Posuka,,,,,,,,,,,,,,,,,,,,,,,Kaiu Shirai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,Horror,,,Mystery,,Psychological,,,,,Shounen,,,Supernatural,Tragedy,
6,Crime and Punishment - A Falsified Romance,crime_and_punishment_a_falsified_romance,https://manganato.com/manga-wr953626,['Ochiai Naoyuki'],1,4,finished,882.5K,42,4.21,Vol.9 Chapter 93,"Description :
Miroku Tachi was a promising student until he dropped out of college. Now, after months spent as a NEET, he has hatched a plan to help his sister, himself, and the whole world... by murdering someone.
Based on Crime and Punishment by Fyodor Dostoyevsky, but in a modern-day Japanese setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ochiai Naoyuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,,,Mature,,,Psychological,,,,Seinen,,,,,,
7,Shin Angyo Onshi,shin_angyo_onshi,https://chapmanganato.com/manga-zf953862,['Youn In-Wan'],1,8,finished,2.2M,89,4.67,Vol.7 Chapter 82,"Description :
From etc:
Based on historical setting of Korea during the Josun Age. Long ago, in Jushin, secret royal inspectors named ""Angyo Onshi"" wandered the country and restored the order. But now that Jushin is destroyed, only one is still wandering...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Youn In-Wan,,,Action,Adventure,,,,Drama,Fantasy,Historical,,,Mature,,,,,,,Seinen,,,,,Tragedy,
8,No Longer Human (Junji Itou),no_longer_human_junji_itou,https://chapmanganato.com/manga-dj980444,"['Junji Itou', 'Osamu Dazai']",2,6,ongoing,2.6M,95,4.69,Chapter 8: Cold Sweat,"Description :
Macabre manga master Junji Ito applys his singularly anxious touch to a comic book adaptation based on No Longer Human (Ningen Shikkaku in the original Japanese), a classic of modern Japanese literature written by Osamu Dazai. The poignant and fascinating story of a young man who is caught between the breakup of the traditions of a northern Japanese aristocratic family and the impact of Western ideas. Portraying himself as a failure, the protagonist of Osamu Dazai's No Longer Human narrates a seemingly normal life even while he feels himself incapable of understanding human beings. Oba Yozo's attempts to reconcile himself to the world around him begin in early childhood, continue through high school, where he becomes a ""clown"" to mask his alienation, and eventually lead to a failed suicide attempt as an adult. Without sentimentality, he records the casual cruelties of life and its fleeting moments of human connection and tenderness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Junji Itou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osamu Dazai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,,Martial arts,Mature,,,Psychological,,,,Seinen,,Slice of life,,,,
