,Title,url_name,manganato_url,author,num_authors,num_genres,status,views,votes,avg_rating,last_chapter,description,Abe George,Alexandre Dumas,Aoisei,Asano Inio,Atsushi Kamakura,Chiba Sadoru,Demizu Posuka,Ena Moriyama,Fujimoto Tatsuki,Fukao Atsushi,Furuhashi Hideyuki,Furuya Minoru,Furuya Usamaru,Gee So-Lyung,Gou Tanabe,H. P. Lovecraft,Han,Hanazawa Kengo,Higashino Keigo,Hiroe Rei,Hiromoto Sinichi,Hokazono Masaya,Honda Shingo,Hyung Min-Woo,Isayama Hajime,Itou Junji,Jal,Junji Itou,Kaihou Norimitsu,Kaiu Shirai,Kakizaki Masasumi,Kaneshiro Muneyuki,Kanzaki Yuuya,Katsura Masakazu,Kawakami Ryou,Kim Hyung-Jin,Kimizuka Chikara,Kino Hitoshi,Kishimoto Yuki,Koike Nokuto,Koizumi Tomohiro,Kotegawa Yua,Kouji Megumi,Kozo Takahashi,Macchiro,Masaya Hokazono,Matsui Yuusei,Matsumoto Jiro,Miura Kentaro,Miura Tsuina,Miyatsuki Arata,Mori Kouji,Murasaki Hisato,Murata Shinya,Nabeda Yoshiro,Nagai Yoshio,Nakamura Moto,Nanjou Norio,Nitta Jiro,Nohara Mosae,Ochiai Naoyuki,Oobaru,Ooki Kousuke,Osamu Dazai,Oshimi Shuzo,Otomo Katsuhiro,Otsuka Eiji,Ryou Haruto,Saimura Tsukasa,Sakaki Kenji,Sakamoto Shinichi,Sakurai Gamon,Samura Hiroaki,Sanbe Kei,Sato Kentaro,Satou Daisuke,Satou Kenichi,Shimada Toranosuke,Tajima Sho-U,Takahashi Tsutomu,Takami Koushun,Takatoo Yuko,Takimoto Tatsuhiko,Tatsuki Fujimoto,Terada Katsuya,Tonogai Yoshiki,Tsutsui Tetsuya,Uguisu Sachiko,Watanabe Chihiro (Ii),Yagi Norihiro,Yamaguchi Takayuki,Yamamoto Hideo,Yasohachi Ryou,Yasuhiko Yoshikazu,Youn In-Wan,Yu Satomi,,Action,Adventure,Comedy,Cooking,Doujinshi,Drama,Fantasy,Historical,Horror,Martial arts,Mature,Mystery,One shot,Psychological,Romance,School life,Sci fi,Seinen,Shounen,Slice of life,Sports,Supernatural,Tragedy,Webtoons,wiki_url,has_wikipedia_page,compare_title
13,Ichigeki (Matsumoto Jiro),ichigeki_matsumoto_jiro,https://manganato.com/manga-xk975119,"['Nagai Yoshio', 'Matsumoto Jiro']",2,5,ongoing,2.5M,275,4.62,Chapter 47: A New Path [End],"Description :
A martial arts historical series about a peasant turned samurai and caught in the turmoil of the final year of the Edo Period (1868).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matsumoto Jiro,,,,,,,,Nagai Yoshio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,Drama,,Historical,,,Mature,,,,,,,Seinen,,,,,,,None,False,Ichigeki (Matsumoto Jiro)
15,Mahou Shoujo Of The End,mahou_shoujo_of_the_end,https://chapmanganato.com/manga-xk953719,['Sato Kentaro'],1,6,finished,9.5M,352,4.57,Vol.16 Final Chapter.of Apocalypse [End],"Description :
Kogami Kii hates his normal everyday life and wishes for something to happen. One day in the middle of class, he looks out the window and sees his teacher's head explode when a little girl hits it. He goes to the bathroom to calm himself, but when he gets back to the classroom, he finds most of his classmates killed by the same little girl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sato Kentaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,Horror,,Mature,,,,Romance,,,,Shounen,,,Supernatural,,,None,False,Mahou Shoujo Of The End
17,Unemployed Concentration Camp,unemployed_concentration_camp,https://chapmanganato.com/manga-eg982315,"['Gee So-Lyung', 'Atsushi Kamakura']",2,5,ongoing,2.6M,306,4.23,Chapter 29.4,"Description :
2022, Japan's non-workers regeneration method has been established. A person who does not have income for more than six months, is subject to a treatment where they rewrite their brain at a regeneration treatment facility. Tatsuya Kamijo was working in a foreign-owned investment company. One day he loses his job, but six months later, Tatsuya is sent to a concentration camp rather than a playback facility. There he is subjected to worse treatment than brainwashing and training. Why was Tatsuya sent there?",,,,,Atsushi Kamakura,,,,,,,,,Gee So-Lyung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,,,Horror,,,Mystery,,Psychological,,,,Seinen,,,,,,,None,False,Unemployed Concentration Camp
24,Sasaki-Kun Ga Judan Tometa,sasaki_kun_ga_judan_tometa,https://manganato.com/manga-ul971868,['Fujimoto Tatsuki'],1,0,finished,232.9K,88,4.85,Chapter 0 : One Shot,"Description :
When this world is no moreThe moon is all we'll seeI'll ask you to fly away with meUntil the stars all fall downThey empty from the skyBut I don't mindIf you're with me, then everything's alright",,,,,,,,,Fujimoto Tatsuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,False,Sasaki-Kun Ga Judan Tometa
25,Gyakusatsu Happy End,gyakusatsu_happy_end,https://chapmanganato.com/manga-kn988270,['Miyatsuki Arata'],1,4,ongoing,4.7M,1196,4.7,Chapter 55 [End],"Description :
High school student Kusakabe Makoto has to work all day to raise money for the treatment of his younger sister, who suffers from a serious illness. The father is unemployed, the mother ran away, leaving the children, bullying at work … Despite all this, he does not lose hope and continues to live for her sister. But having learned that she did not have long, Makoto falls into despair. Fear of the unknown causes him to take a different look at the value of human life.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miyatsuki Arata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mystery,,Psychological,,,,Seinen,,,,Supernatural,,,None,False,Gyakusatsu Happy End
27,Koukoku No Shugosha,koukoku_no_shugosha,https://manganato.com/manga-hv954704,['Satou Daisuke'],1,6,finished,518.3K,51,4.86,Vol.1 Chapter 34 : Repatriation(End),"Description :
An elite military unit conducts its duties alongside sabertooth tigers trained to assist their human masters.
The Imperial Guards manga was a runner-up in the 9th Japanese Media Arts Awards, the 11th Tezuka Cultural Prize, and the 1st Manga Taisho Awards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satou Daisuke,,,,,,,,,,,,,,,,,,,,,,Action,Adventure,,,,Drama,Fantasy,Historical,,,,,,,,,,Seinen,,,,,,,None,False,Koukoku No Shugosha
29,Kimi no Knife,kimi_no_knife,https://manganato.com/manga-rd969260,['Kotegawa Yua'],1,5,finished,667.5K,46,4.85,Vol.10 Chapter 71 : Judgment Vi,"Description :
From Manga Updates
""If you can get 5 million yen for killing a person, what would you do?"" A beautiful woman asks Shiki, a part-time lecturer that question on their first meeting. Shiki answers ""If it's an evil person..."", mistaking this for a joke. But then the woman points out the target...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kotegawa Yua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,,,,Mystery,,Psychological,,,,Seinen,,,,Supernatural,,,None,False,Kimi no Knife
31,Cradle of Monsters,cradle_of_monsters,https://manganato.com/manga-mi964117,['Sanbe Kei'],1,6,finished,925.9K,63,4.7,Vol.6 Chapter 41.6,"Description :
A group of students find themselves on a sinking capsized ship. Together with some zombies. What happened to the ship and why are there zombies aboard? It's a battle against time and zombies, to save themselves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanbe Kei,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,Drama,,,Horror,,Mature,Mystery,,,,,,Seinen,,,,,,,None,False,Cradle of Monsters
32,Noin,noin,https://manganato.com/manga-yn975748,['Murasaki Hisato'],1,3,ongoing,455.2K,115,4.13,Chapter 49: Under Pouring Rain [End],"Description :
From the depths of the earth appeared the mysterious, gigantic being, Mánagarmr.
Belonging to the special education class of Toudou Academy, main character Magami Taijuu encounters a single person in the depths of the earth, a girl named Non. The pair's meeting will set the gears of fate in motion...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Murasaki Hisato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,Fantasy,,,,,,,,,,,,Shounen,,,,,,None,False,Noin
