,Title,num_authors,num_genres,views,votes,avg_rating,last_chapter,description,Fukuda Ikumi,Hansiryeong,Iruka Notsuno,Kase Daiki,Makise Shoun,Mizuno Saikoro,Nina (Ii),Ozawa Toshio,Sano Sakura,Setsuna,Shinkyu Chie,Studio73,Tanaka Yoshiki,Tanimura Nijuu-En,Tao Noritake,Action,Comedy,Doujinshi,Drama,Fantasy,Harem,Historical,Isekai,Josei,Mature,One shot,Psychological,Romance,School life,Sci fi,Seinen,Shoujo,Shounen,Slice of life,Smut,Supernatural,has_wikipedia_page,wiki_volumes,wiki_adventure,wiki_fantasy,wiki_science fantasy,wiki_superhero,wiki_start_date,wiki_end_date,wiki_kodansha_original_publisher,wiki_shueisha_original_publisher,wiki_na kodansha usa_english_publisher,wiki_na viz media_english_publisher,wiki_weekly shōnen jump_magazine,wiki_weekly shōnen magazine_magazine,title_char_count,wiki_demographic_Shōnen,status_ongoing
0,The Overly Straightforward Natsume-Kun Can't Properly Confess,1,5,27000,22,4.0,6.0,"Description :
Is this confession for real!? A cute surreal love comedy between a slightly off-the-rails full-steam-ahead high school boy and a fluffy cool-headed gyaru!",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,1
1,Real No Heroine Wa Irimasen!,1,6,30000000,1927,4.28,93.0,"Description :
Aramiya Seiichi is an ordinary high school… eroge otaku who’s given up all hope on girls in the 3D world due to a certain incident. One day, after he’s bought a bunch of new material in consequence of experiencing the frustration of a perfect eroge character turning out to be “used goods,” he encounters a delinquent-like-looking girl being about to get raped by a bunch of guys. By mere chance, he rescues her. Days later, when school starts again, it turns out to have been his classmate, Ayame, a feared delinquent girl who’s got all kind of rumors about her – especially that she’s “used goods.” And it appears that she’s set on becoming his ideal girl to make him fall for her.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1
2,Medusa And Futakuchi-Chan,1,3,918000,311,4.24,81.0,"Description :
Medusa and Futakuchi-chan summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Medusa and Futakuchi-chan. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1
3,Nanba Mg5,1,5,4600000,428,4.75,124.0,"Description :
Born in a family of delinquents,Nanba Tsuyoshi is expected to succeed his older brother as the strongest delinquent in school. Unbeknownst to his family however, he decides to enroll in the top high school in town to live as a normal high schooler. Can he maintain his double life as the strongest delinquent in town and as a normal high schooler?",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1
4,Takako-San,1,2,235400,101,4.69,62.0,"Description :
The signal is hiding in the breathing. Takako is the girl who can hear things more clearly than other people. It’s not a special power, so she can’t write it on her resume, but Takako communes and communicates with the world through sound. Let’s watch the simple daily life of Takako while she warmly embraces the heartless modern society.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1
5,Ts Shita Yuujin Ga Guigui Kuru Kudan,1,1,325900,143,3.59,28.0,"Description :
TS Shita Yuujin ga Guigui Kuru Kudan summary is updating. Come visit MangaNato.com sometime to read the latest chapter of TS Shita Yuujin ga Guigui Kuru Kudan. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1
6,Reborn As A Character That Never Existed,2,3,951100,161,4.83,24.0,"Description :
""After meeting her death, Thalia is reborn as the female protagonist’s older sister, a character that never existed in the novel she wrote in her past life.

She tries hard to get attached to the world inside the novel, but she gets caught up in the thought that everything is just a mere creation of her own.

“Please make Tilly love me.”

Aegis, who was supposed to fall in love with Thalia's younger sister, makes a wish to God on his coming-of-age birthday.

Will Thalia be able to love Aegis?""",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1
7,The Heat Of The Reincarnated Villainess,4,8,2600000,157,4.35,37.0,"Description :
A detested villainess and a proper prince are instinctually drawn to each other's bodies before they have a chance to develop feelings. What will their destiny be!?

I was reincarnated into the world of the otome game ""Prince of Prince"" as Rose, the hated villainess. Originally, the heroine and the prince were supposed to be attracted to each other, and due to the influence of a special pheromone, they were supposed to go into heat, but for some reason, now the pheromone works on the villainess and the prince...?! ""It's different from the game I know...!""",0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1
8,The Chronicle Of Seven Cities,2,5,226200,56,4.63,9.0,"Description :
The story is set in a near-future Earth, in the aftermath of a major disaster that shifts the planet's polar axis 90 degrees, situating the poles along the equatorial line and killing everyone on Earth. A moon-based colony avoids the disaster, and begins recolonizing the depopulated Earth by establishing seven cities in strategic locations. However, to ensure the loyalty of the Earth colony, the moon establishes an orbital defense system that destroys anything that flies 500 meters in the air. When an unknown virus kills everyone on the moon, humanity becomes trapped on Earth, where the political intrigues of the seven cities continue to play out.",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,True,41,1,1,0,0,0,0,1,0,1,0,0,1,29,1,1
9,Hero Killer,1,6,8700000,1007,3.16,109.0,"Description :
The story of a young man's revenge on the heroes that failed him.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,True,37,1,0,1,1,0,-1,0,1,0,1,1,0,11,1,0
