,wiki_url,wiki_genres,wiki_original_publisher,wiki_english_publisher,wiki_magazine,wiki_demographic,wiki_original_run,wiki_volumes
0,https://en.wikipedia.org/wiki/Goodnight_Punpun,"['wiki_coming-of-age', 'wiki_drama', 'wiki_slice of life']",Shogakukan,NA Viz Media,"Weekly Young Sunday(March 15, 2007–July 31, 2008)Weekly Big Comic Spirits(October 20, 2008–November 2, 2013)",Seinen,"March 15, 2007 – November 2, 2013",13 (List of volumes)
1,https://en.wikipedia.org/wiki/Chainsaw_Man,"['wiki_action', 'wiki_comedy horror', 'wiki_dark fantasy']",Shueisha,NA Viz Media,"Weekly Shōnen Jump(December 3, 2018 – December 14, 2020)Shōnen Jump+(July 13, 2022 – present)",Shōnen,"December 3, 2018 – present",14 (List of volumes)
2,https://en.wikipedia.org/wiki/Berserk_(manga),"['wiki_dark fantasy', 'wiki_epic fantasy', 'wiki_sword and sorcery']",Hakusensha,NA Dark Horse Comics,Monthly Animal House(1989–1992)Young Animal(1992–present),Seinen,August 1989 – present,41 (List of volumes)
3,https://en.wikipedia.org/wiki/Demon_Slayer:_Kimetsu_no_Yaiba,"['wiki_adventure', 'wiki_dark fantasy', 'wiki_martial arts']",Shueisha,NA Viz Media,Weekly Shōnen Jump,Shōnen,"February 15, 2016 – May 18, 2020",23 (List of volumes)
4,https://en.wikipedia.org/wiki/Blade_of_the_Immortal,"['wiki_dark fantasy', 'wiki_epic fantasy', 'wiki_historical fantasy']",Kodansha,NA Dark Horse Comics,Monthly Afternoon,Seinen,"June 25, 1993 – December 25, 2012",30 (List of volumes)
5,https://en.wikipedia.org/wiki/The_Promised_Neverland,"['wiki_dark fantasy', 'wiki_science fiction', 'wiki_thriller']",Shueisha,NA Viz Media,Weekly Shōnen Jump,Shōnen,"August 1, 2016 – June 15, 2020",20 (List of volumes)
6,https://en.wikipedia.org/wiki/Crime_and_Punishment:_A_Falsified_Romance,[],Futabasha,JManga,Manga Action,Seinen,"January 23, 2007 – March 15, 2011",10 (List of volumes)
7,https://en.wikipedia.org/wiki/Blade_of_the_Phantom_Master,"['wiki_action', 'wiki_epic fantasy']",Daewon C.I. (South Korea)Shogakukan (Japan),,Young Champ (South Korea)Monthly Sunday Gene-X (Japan),Seinen,"March 19, 2001 – August 18, 2007",17 + 1 Shin Angyo Onshi Gaiden
8,https://en.wikipedia.org/wiki/No_Longer_Human_(Ito_manga),['wiki_psychological horror'],Shogakukan,NA Viz Media,Big Comic Original,Seinen,"May 2, 2017 – April 20, 2018",3 (List of volumes)
9,https://en.wikipedia.org/wiki/Drifting_Net_Cafe,"['wiki_science fiction', 'wiki_mystery', 'wiki_romance']",Futabasha,,Manga Action,Seinen,"February 28, 2009 – June 28, 2011",7
10,https://en.wikipedia.org/wiki/Innocent_(manga),"['wiki_historical', 'wiki_suspense']",Shueisha,NA Dark Horse Comics,Weekly Young Jump,Seinen,"January 31, 2013 – April 16, 2015",9 (List of volumes)
11,https://en.wikipedia.org/wiki/Ajin:_Demi-Human,"['wiki_action', 'wiki_dark fantasy', 'wiki_supernatural thriller']",Kodansha,NA Vertical,Good! Afternoon,Seinen,"July 6, 2012 – February 5, 2021",17 (List of volumes)
12,https://en.wikipedia.org/wiki/Kokou_no_Hito,[],Shueisha,,Weekly Young Jump,Seinen,1 November 2007 – 27 October 2011,17 (List of volumes)
13,https://en.wikipedia.org/wiki/School-Live!,"['wiki_horror', 'wiki_psychological thriller', 'wiki_slice of life']",Houbunsha,NA Yen Press,Manga Time Kirara Forward,Seinen,"May 24, 2012 – November 22, 2019",12 (List of volumes)
14,https://en.wikipedia.org/wiki/Attack_on_Titan,"['wiki_action', 'wiki_dark fantasy', 'wiki_post-apocalyptic']",Kodansha,NA Kodansha USA,Bessatsu Shōnen Magazine,Shōnen,"September 9, 2009 – April 9, 2021",34 (List of volumes)
15,https://en.wikipedia.org/wiki/Fire_Punch,"['wiki_dark fantasy', 'wiki_dystopian', 'wiki_supernatural thriller']",Shueisha,NA Viz Media,Shōnen Jump+,Shōnen,"April 18, 2016 – January 1, 2018",8 (List of volumes)
16,https://en.wikipedia.org/wiki/My_Hero_Academia:_Vigilantes,"['wiki_adventure', 'wiki_science fantasy', 'wiki_superhero']",Shueisha,NA Viz Media,Jump GIGAShōnen Jump+,Shōnen,"August 20, 2016 – May 28, 2022",15 (List of volumes)
17,https://en.wikipedia.org/wiki/Tatsuki_Fujimoto_Before_Chainsaw_Man,"['wiki_fantasy comedy', 'wiki_horror']",Shueisha,NA Viz Media,,Shōnen,,2 (List of volumes)
18,https://en.wikipedia.org/wiki/Creature!,['wiki_horror'],Akita Shoten,NA Media Do [ja] (digital),Monthly Shōnen Champion,Shōnen,"April 6, 2010 – June 6, 2017",21 (List of volumes)
19,https://en.wikipedia.org/wiki/Ichi_the_Killer_(manga),"['wiki_action', 'wiki_psychological thriller', 'wiki_yakuza']",Shogakukan,,Weekly Young Sunday,Seinen,1998 – 2001,1
20,https://en.wikipedia.org/wiki/School-Live!,"['wiki_horror', 'wiki_psychological thriller', 'wiki_slice of life']",Houbunsha,NA Yen Press,Manga Time Kirara Forward,Seinen,"May 24, 2012 – November 22, 2019",12 (List of volumes)
21,https://en.wikipedia.org/wiki/Shigurui,[],Akita Shoten,,Champion Red(2003−2006)Champion Red Ichigo(2007−2010),Seinen,August 2003 – September 2010,15 (List of volumes)
22,https://en.wikipedia.org/wiki/Zetman,"['wiki_action', 'wiki_science fiction', 'wiki_superhero']",Shueisha,,Weekly Young Jump,Seinen,"October 31, 2002 – July 24, 2014",20 (List of volumes)
23,https://en.wikipedia.org/wiki/Himizu_(manga),['wiki_psychological drama'],Kodansha,,Weekly Young Magazine,Seinen,"January 29, 2001 – March 11, 2002",4 (List of volumes)
