Title,Japanese Name,Finished/Ongoing,Rating,Date Read,Count of Title Characters
Goodnight Punpun,,finished,10,2022,16
Chainsaw man,,finished ,10,2021,12
Berserk,,ongoing,10,2016,7
Jigoku No Alice,Alice in Hell,finished,9,02/15/2023,15
Mugen No Juunin,Blade of the Immortal,finished,9,11/15/2022,15
Yakusoku No Neverland,The Promised Neverland,finished,9,11/05/2022,21
Crime and Punishment - A Falsified Romance,,finished ,9,2016,42
Shin Angyo Onshi,Blade of the Phantom Master,finished,8,11/29/2022,16
No Longer Human (Junji Itou),,finished,8,11/06/2022,28
Hyouryuu Net Cafe,Drifting Net Cafe,finished,8,10/17/2022,17
Innocent (Sakamoto Shinichi),,finished ,8,2020,28
Ajin,,finished ,8,2018,4
Kokou no hito,,finished ,8,2017,13
Ichigeki (Matsumoto Jiro),Ichigeki,finished,7,01/30/2023,25
What a Wonderful World,Subarashii Sekai,finished,7,11/09/2022,22
Mahou Shoujo Of The End,Magical Girl of the End,finished,7,10/22/2022,23
Gakkou Gurashi!,,finished,7,10/13/2022,15
Unemployed Concentration Camp,,finished,7,10/11/2022,29
Homunculus,,finished,7,2022,10
Attack On Titan,Shingeki no Kyojin,finished,7,2021,15
Innocent Rouge,,finished,7,2021,14
Fire Punch,,finished,7,2020,10
Vigilante: Boku No Hero Academia Illegals,,finished,7,2020,41
Yogen No Nayuta,,finished,6,03/09/2023,15
Sasaki-Kun Ga Judan Tometa,,finished,6,02/18/2023,26
Gyakusatsu Happy End,,finished,6,01/09/2023,20
Hakaijuu,,finished,6,12/20/2022,8
Koukoku No Shugosha,,finished,6,12/17/2022,19
Ichi (Yamamoto Hideo),,finished,6,12/12/2022,21
Kimi no Knife,,finished,6,12/06/2022,13
Gakkou Gurashi! Otayori,,finished,6,10/13/2022,23
Cradle of Monsters,,finished,6,2022,18
Noin,Neun,finished,6,2022,4
Kamisama No Iutoori (Fujimura Akeji),As the god's will,finished,6,2022,36
Goumon Tournament,,finished,6,2022,17
Ibitsu,,finished,6,2018,6
Shigurui,,finished,6,2018,8
I am a hero,,finished,6,2017,11
Zetman,,finished,6,2017,6
Uzumaki,,finished,6,2017,7
Manhole,,finished,6,2017,7
Himizu,,finished,6,2017,6
Battle Royal,,finished ,6,2017,12
The Devil Of The Gods,,finished - canceled,6,01/25/2023,21
Suicide Island,,finished - not read all,6,2017,14
Claymore,Claymore,dropped,5,2016,8
Léviathan (Kuroi Shiro),Leviathan,finished,5,04/10/2023,23
Ichi the Killer,,finished,5,12/12/2022,15
Kanojo Wo Mamoru 51 No Houhou,51 Ways to protect her,finished,5,11/01/2022,29
Insect Princess,,finished,5,10/26/2022,15
Bibliomania,,finished,5,2022,11
The Count of Monte Cristo,,finished,5,2022,25
Ansatsu Kyoushitsu,Assassination Classroom,finished,5,2018,18
Heads,,finished,5,2018,5
Gyo (Itou Junji),,finished,5,2017,16
6000,,finished,5,2017,4
Jackals,,finished,5,2016,7
Rainbow,,finished - not read all,5,2018,7
Montage,,finished - not read all,5,2018,7
Priest,,finished - not read all,5,2017,6
Immortal Ridge,,ongoing,5,04/09/2023,14
Shin Tokyo,Tokyo Underworld,ongoing,5,01/18/2023,10
Funouhan,Funouhan,ongoing,5,01/07/2023,8
Yomotsuhegui: Fruit of the Underworld,,ongoing,5,10/14/2022,37
mpd psycho,,ongoing - not fully translated,5,2017,10
Shikaku,,finished,4,03/09/2023,7
Love Is Blind (Fujimoto Tatsuki),,finished,4,03/09/2023,32
Tourin,Fight Bell,finished,4,02/18/2023,6
Manga Of The Dead,Manga of the Dead,finished,4,02/13/2023,17
Akira (Otomo Katsuhiro),,finished,4,01/22/2023,23
H.p. Lovecraft's The Call Of Cthulhu,,finished,4,2022,36
Pygmalion,,finished,4,2022,9
Blue Heaven ,,finished,4,2022,12
Killer Stall,,finished,4,2017,12
Welcome to the NHK,,dropped,3,10/16/2022,18
Pumpkin Night,,dropped,3,2022,13
Waga Na Wa Nero,,finished,3,12/07/2022,15
This Man,,finished,3,2022,8
Jinrou Game - Crazy Fox,,finished,3,2022,23
Mercenary Pierre,,finished,3,2017,16
Ikitemasu Ka? Honda-Kun,,dropped,2,04/09/2023,23
Innocent Devil,,dropped,2,01/23/2023,14
"Boku No Namae Wa ""shounen A""",My name is boy A,finished,2,12/06/2022,28
From the Red Fog,,finished,2,10/23/2022,16
Delusional Boy,,dropped,1,2017,14
The Isle Of 100 Kills,,ongoing,1,01/15/2023,21
